PARK,BOROUGH,QUARTER,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
WOLFE'S POND PARK,STATEN ISLAND,4,302.69,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CONFERENCE HOUSE PARK,STATEN ISLAND,4,286.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RANDALL'S ISLAND PARK,MANHATTAN    ,4,256.11,ONE ACRE OR LARGER,0,0,0,1,0,3,0,4
ROCKAWAY COMMUNITY PARK,QUEENS       ,4,255.40,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KISSENA PARK,QUEENS       ,4,237.15,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RIVERSIDE PARK,MANHATTAN    ,4,235.77,ONE ACRE OR LARGER,0,0,1,1,0,4,0,6
HUTCHINSON RIVER PARKWAY,BRONX        ,4,229.14,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BLUE HERON PARK,STATEN ISLAND,4,217.45,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DYKER BEACH PARK,BROOKLYN     ,4,216.66,ONE ACRE OR LARGER,0,1,0,0,0,2,0,3
WILLOWBROOK PARK,STATEN ISLAND,4,214.95,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,4,210.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SILVER LAKE PARK,STATEN ISLAND,4,205.98,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRONX RIVER PARKWAY,BRONX        ,4,205.65,ONE ACRE OR LARGER,0,1,0,0,0,0,0,1
SOUNDVIEW PARK,BRONX        ,4,205.31,ONE ACRE OR LARGER,,,,1,0,0,0,1
BELT PARKWAY,QUEENS       ,4,202.65,ONE ACRE OR LARGER,,,,,0,0,0,0
WILLOWBROOK PARKWAY,STATEN ISLAND,4,198.48,ONE ACRE OR LARGER,,,,,0,0,0,0
INWOOD HILL PARK,MANHATTAN    ,4,196.40,ONE ACRE OR LARGER,,,1,,0,0,0,1
CLOVE LAKES PARK,STATEN ISLAND,4,193.42,ONE ACRE OR LARGER,,,2,,0,0,0,2
FORT WASHINGTON PARK,MANHATTAN    ,4,184.14,ONE ACRE OR LARGER,,,1,,0,0,0,1
IDLEWILD PARK,QUEENS       ,4,180.85,ONE ACRE OR LARGER,,,,,0,0,0,0
WARDS ISLAND PARK,MANHATTAN    ,4,176.58,ONE ACRE OR LARGER,,,,,0,0,0,0
SOUTH SHORE COUNTRY CLUB,STATEN ISLAND,4,173.99,ONE ACRE OR LARGER,,,,,0,0,0,0
SAW MILL CREEK MARSH,STATEN ISLAND,4,171.78,ONE ACRE OR LARGER,,,,,0,0,0,0
BLOOD ROOT VALLEY,STATEN ISLAND,4,161.24,ONE ACRE OR LARGER,,,,,0,0,0,0
JAMAICA BAY PARK,QUEENS       ,4,149.54,ONE ACRE OR LARGER,,,,,0,0,0,0
KISSENA CORRIDOR PARK,QUEENS       ,4,146.81,ONE ACRE OR LARGER,,,1,,0,0,0,1
HIGHLAND PARK,BROOKLYN/QUEENS,4,146.34,ONE ACRE OR LARGER,,,1,1,0,0,0,2
ARDEN WOODS,STATEN ISLAND,4,145.86,ONE ACRE OR LARGER,,,,,0,0,0,0
RIVERDALE PARK,BRONX        ,4,144.29,ONE ACRE OR LARGER,,,,,0,0,0,0
OCEAN PARKWAY MALLS,BROOKLYN     ,4,140.00,ONE ACRE OR LARGER,,,,,0,0,0,0
BLOOMINGDALE PARK,STATEN ISLAND,4,138.10,ONE ACRE OR LARGER,,,,,0,0,0,0
OCEAN BREEZE PARK,STATEN ISLAND,4,136.57,ONE ACRE OR LARGER,,,,,1,0,0,1
CANARSIE PARK,BROOKLYN     ,4,132.20,ONE ACRE OR LARGER,,,,,0,0,0,0
HIGHBRIDGE PARK MANHATTAN SIDE,MANHATTAN    ,4,130.10,ONE ACRE OR LARGER,1,0,4,1,1,0,0,7
CROTONA PARK,BRONX        ,4,127.50,ONE ACRE OR LARGER,0,0,3,1,0,1,0,5
PAERDEGAT BASIN PARK,BROOKLYN     ,4,118.80,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOOK CREEK PARK,QUEENS       ,4,111.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CRESCENT BEACH PARK,STATEN ISLAND,4,110.96,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CLEARVIEW PARK GOLF COURSE,QUEENS       ,4,110.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BAISLEY POND PARK,QUEENS       ,4,109.61,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PELHAM PARKWAY,BRONX        ,4,108.91,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PRALLS ISLAND,STATEN ISLAND,4,107.51,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARINERS MARSH PARK,STATEN ISLAND,4,107.20,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DOUGLASTON PARK GOLF COURSE,QUEENS       ,4,104.60,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
